job_key,job_title,company,status,application_stage,date_applied,follow_up,last_updated,resume_used,cover_letter_used,recruiter_name,recruiter_email,interview_date,salary,apply_url,source_email_url,job_link,notes
inventory specialist i|fairview health services,Inventory Specialist I,Fairview Health Services,Not Applied,,,,6/25/2026,,,,,,,,,,
"associate, sales - target + aldi|chomps","Associate, Sales - Target + Aldi",Chomps,Not Applied,,,,6/25/2026,,,,,,,,,,
inventory coordinator|medline,Inventory Coordinator,Medline,Not Applied,,,,6/25/2026,,,,,,,,,,
inventory coordinator (1st shift)|cardinal health,Inventory Coordinator (1st shift),Cardinal Health,Not Applied,,,,6/25/2026,,,,,,,,,,
supply management planner|deluxe,Supply Management Planner II,Deluxe,Not Applied,,,,6/25/2026,,,,,,,,,,
buyer analyst|nvent,Buyer Analyst,nVent,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations systems analyst|swooped,Sales Operations Systems Analyst,Swooped,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations analyst / salesforce / ai|motion recruitment,Sales Operations Analyst / Salesforce / AI,Motion Recruitment,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations associate|jobgether,Sales Operations Associate,Jobgether,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations associate|remotehunter,Sales Operations Associate,RemoteHunter,Not Applied,,,,6/25/2026,,,,,,,,,,
revenue operations analyst|scale.jobs,Revenue Operations Analyst,Scale.jobs,Not Applied,,,,6/25/2026,,,,,,,,,,
analytics specialist|cargill,Analytics Specialist,Cargill,Not Applied,,,,6/25/2026,,,,,,,,,,
supply planner|lactalis usa,Supply Planner,Lactalis USA,Not Applied,,,,6/25/2026,,,,,,,,,,
strategic accounts support associate|swannies,Strategic Accounts Support Associate,Swannies,Not Applied,,,,6/25/2026,,,,,,,,,,
"sr. sourcing/supply chain specialist|davron, llc",Sr. Sourcing/Supply Chain Specialist,"DAVRON, LLC",Not Applied,,,,6/25/2026,,,,,,,,,,
"associate technical analyst|strategic education, inc",Associate Technical Analyst,"Strategic Education, Inc",Not Applied,,,,6/25/2026,,,,,,,,,,
associate technical analyst|talentally,Associate Technical Analyst,TalentAlly,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce developer|ledgent technology,Salesforce Developer,Ledgent Technology,Not Applied,,,,6/25/2026,,,,,,,,,,
senior consultant - application development (food)|cargill,Senior Consultant - Application Development (Food),Cargill,Not Applied,,,,6/25/2026,,,,,,,,,,
"product owner - salesforce cpq, qtc process and retail industry is must|smart it frame llc","Product Owner - Salesforce CPQ, QTC process and retail industry is must",Smart IT Frame LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator|privia health,Salesforce Administrator,Privia Health,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations analyst|radancy,Sales Operations Analyst,Radancy,Not Applied,,,,6/25/2026,,,,,,,,,,
crm operations lead|curvion blue,CRM Operations Lead,Curvion Blue,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator|vultr,Salesforce Administrator,Vultr,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator / junior developer|corpay,Salesforce Administrator / Junior Developer,Corpay,Not Applied,,,,6/25/2026,,,,,,,,,,
staff sales operations analyst|dexcom,Staff Sales Operations Analyst,Dexcom,Not Applied,,,,6/25/2026,,,,,,,,,,
revenue operations specialist|andela,Revenue Operations Specialist,Andela,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations analyst|thermo fisher scientific,Sales Operations Analyst II,Thermo Fisher Scientific,Not Applied,,,,6/25/2026,,,,,,,,,,
"analyst, revenue operations|jd power","Analyst, Revenue Operations",JD Power,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator jobs mn|minnesota,Salesforce administrator jobs mn,Minnesota,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce admin & automation specialist|renewal by andersen,Salesforce Admin & Automation Specialist,Renewal by Andersen,Not Applied,,,,6/25/2026,,,,,,,,,,
global salesforce crm administrator | data & reporting|heraeus holding gmbh,Global Salesforce CRM Administrator | Data & Reporting,Heraeus Holding GmbH,Not Applied,,,,6/25/2026,,,,,,,,,,
sr salesforce admin|summit companies,SR Salesforce Admin,Summit Companies,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator|kids in need foundation,Salesforce Administrator,Kids In Need Foundation,Not Applied,,,,6/25/2026,,,,,,,,,,
sr. salesforce administrator|patterson,Sr. Salesforce Administrator,Patterson,Not Applied,,,,6/25/2026,,,,,,,,,,
sr. salesforce administrator|patterson companies,Sr. Salesforce Administrator,Patterson Companies,Not Applied,,,,6/25/2026,,,,,,,,,,
crm administrator|university of st. thomas,CRM Administrator,University of St. Thomas,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce business systems analyst|daikin applied americas,Salesforce Business Systems Analyst,Daikin Applied Americas,Not Applied,,,,6/25/2026,,,,,,,,,,
ai specialist & crm coordinator|bethel university,AI Specialist & CRM Coordinator,Bethel University,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce business analyst - data specialist|ladders,Salesforce Business Analyst - Data Specialist,Ladders,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations specialist|starhunter,Sales Operations Specialist,StarHunter,Not Applied,,,,6/25/2026,,,,,,,,,,
senior revenue operations analyst|ladders,Senior Revenue Operations Analyst,Ladders,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator|delta dental ins.,Salesforce Administrator,Delta Dental Ins.,Not Applied,,,,6/25/2026,,,,,,,,,,
business analyst|on-demand group,Business Analyst,On-Demand Group,Not Applied,,,,6/25/2026,,,,,,,,,,
senior business analyst|old national bank,Senior Business Analyst,Old National Bank,Not Applied,,,,6/25/2026,,,,,,,,,,
"sr. analyst, reporting & data management|ovative group","Sr. Analyst, Reporting & Data Management",Ovative Group,Not Applied,,,,6/25/2026,,,,,,,,,,
senior business analyst|on-demand group,Senior Business Analyst,On-Demand Group,Not Applied,,,,6/25/2026,,,,,,,,,,
affordability analysti|medica,Affordability Analyst III,Medica,Not Applied,,,,6/25/2026,,,,,,,,,,
supply chain coordinator (direct hire)|ultimate staffing,Supply Chain Coordinator (Direct Hire),Ultimate Staffing,Not Applied,,,,6/25/2026,,,,,,,,,,
production & inventory control specialist|ultimate staffing,Production & Inventory Control Specialist,Ultimate Staffing,Not Applied,,,,6/25/2026,,,,,,,,,,
trade & transportation compliance analyst|pace® analytical services,Trade & Transportation Compliance Analyst,Pace® Analytical Services,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce business analyst mn|minnesota,Salesforce business analyst mn,Minnesota,Not Applied,,,,6/25/2026,,,,,,,,,,
business analyst (annuity/salesforce)|fustis llc,Business Analyst (Annuity/Salesforce),FUSTIS LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce business analyst|iwco direct,SalesForce Business Analyst,IWCO Direct,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce business systems analyst - service ops & data|daikin applied,Salesforce Business Systems Analyst - Service Ops & Data,Daikin Applied,Not Applied,,,,6/25/2026,,,,,,,,,,
sr. salesforce data & marketing cloud business analyst|fustis llc,Sr. Salesforce Data & Marketing Cloud Business Analyst,Fustis LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
expert salesforce business analyst - remote|veradigm,Expert Salesforce Business Analyst - Remote,Veradigm,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce business analyst financial services|clifyx,Salesforce Business Analyst Financial Services,ClifyX,Not Applied,,,,6/25/2026,,,,,,,,,,
"salesforce data cloud business analyst:: eden prairie, mn :: onsite|arkhya tech","Salesforce Data Cloud Business Analyst:: Eden Prairie, MN :: Onsite",Arkhya Tech,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce business analyst - hybrid|gravie,Salesforce Business Analyst - Hybrid,Gravie,Not Applied,,,,6/25/2026,,,,,,,,,,
business analyst jobs mn|minnesota,Business analyst jobs mn,Minnesota,Not Applied,,,,6/25/2026,,,,,,,,,,
business system analyst with banking & lending|dignifyd,Business System Analyst with Banking & Lending,Dignifyd,Not Applied,,,,6/25/2026,,,,,,,,,,
sr. business analyst - uhc cove|unitedhealth group,Sr. Business Analyst - UHC COVE,UnitedHealth Group,Not Applied,,,,6/25/2026,,,,,,,,,,
business analyst|old national bank,Business Analyst II,Old National Bank,Not Applied,,,,6/25/2026,,,,,,,,,,
"business analyst, commercial operations|ideas","Business Analyst, Commercial Operations",IDeaS,Not Applied,,,,6/25/2026,,,,,,,,,,
business systems analyst - hybrid|genesis10,Business Systems Analyst - Hybrid,Genesis10,Not Applied,,,,6/25/2026,,,,,,,,,,
business analyst|tempworks software,Business Analyst,TempWorks Software,Not Applied,,,,6/25/2026,,,,,,,,,,
"commercial multiline business/ system analyst|emergent holdings, inc.",Commercial MultiLine Business/ System Analyst,"Emergent Holdings, Inc.",Not Applied,,,,6/25/2026,,,,,,,,,,
business analyst|lexington manufacturing,Business Analyst,Lexington Manufacturing,Not Applied,,,,6/25/2026,,,,,,,,,,
business analyst|crew,Business Analyst,Crew,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce business analyst - data specialist|prism data consulting,Salesforce Business Analyst - Data Specialist,Prism Data Consulting,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator|atlas crane service llc,Salesforce Administrator,Atlas Crane Service LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
"salesforce administrator hybrid near minneapolis, mn|minneapolis, mn","Salesforce administrator hybrid near Minneapolis, MN","Minneapolis, MN",Not Applied,,,,6/25/2026,,,,,,,,,,
"senior salesforce admin — hybrid: drive crm automation|patterson companies, inc.",Senior Salesforce Admin — Hybrid: Drive CRM Automation,"Patterson Companies, Inc.",Not Applied,,,,6/25/2026,,,,,,,,,,
"senior salesforce & api integration analyst (hybrid)|levi, ray & shoup, inc.",Senior Salesforce & API Integration Analyst (Hybrid),"Levi, Ray & Shoup, Inc.",Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce support administrator/ analyst|fustis llc,Salesforce Support Administrator/ Analyst,FUSTIS LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce admin jobs remote|work from home,Salesforce admin jobs remote,Work from home,Not Applied,,,,6/25/2026,,,,,,,,,,
"salesforce administrator, us (remote)|frontendnode-production.up.railway.app","Salesforce Administrator, US (Remote)",frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
"salesforce administrator us, remote|eleos health inc.","Salesforce Administrator US, Remote",Eleos Health Inc.,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator /remote/|frontendnode-production.up.railway.app,Salesforce Administrator /Remote/,frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce admin – united states – remote|gfgg it solutions,Salesforce Admin – United States – Remote,GFGG IT Solutions,Not Applied,,,,6/25/2026,,,,,,,,,,
junior salesforce administrator – work from home|it recruiters for tech jobs - itrecruiters.technology,Junior Salesforce Administrator – Work From Home,IT Recruiters for Tech Jobs - itrecruiters.technology,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator (remote eligible)|frontendnode-production.up.railway.app,Salesforce Administrator (Remote Eligible),frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator (remote)|frontendnode-production.up.railway.app,Salesforce Administrator (Remote),frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
remote salesforce admin/developer|frontendnode-production.up.railway.app,Remote Salesforce Admin/Developer,frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
crm salesforce administrator (remote)|frontendnode-production.up.railway.app,CRM SALESFORCE ADMINISTRATOR (REMOTE),frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
revenue ops salesforce admin | remote & flexible hours|monetizemore,Revenue Ops Salesforce Admin | Remote & Flexible Hours,MonetizeMore,Not Applied,,,,6/25/2026,,,,,,,,,,
crm administrator remote|work from home,Crm administrator remote,Work from home,Not Applied,,,,6/25/2026,,,,,,,,,,
crm administrator|xs.com,CRM Administrator,XS.com,Not Applied,,,,6/25/2026,,,,,,,,,,
remote dynamics 365 crm admin & adoption specialist|asc engineered solutions,Remote Dynamics 365 CRM Admin & Adoption Specialist,ASC Engineered Solutions,Not Applied,,,,6/25/2026,,,,,,,,,,
cx systems architect (crm administrator) - remote|hire horatio cx,CX Systems Architect (CRM Administrator) - Remote,Hire Horatio CX,Not Applied,,,,6/25/2026,,,,,,,,,,
crm data analyst & administrator|howden,CRM Data Analyst & Administrator,Howden,Not Applied,,,,6/25/2026,,,,,,,,,,
remote sales operations & crm admin|cengage group,Remote Sales Operations & CRM Admin,Cengage Group,Not Applied,,,,6/25/2026,,,,,,,,,,
dynamics crm administrator|asc engineered solutions,Dynamics CRM Administrator,ASC Engineered Solutions,Not Applied,,,,6/25/2026,,,,,,,,,,
crm administrator|uwpks university of wisconsin parkside,CRM Administrator,UWPKS University of Wisconsin Parkside,Not Applied,,,,6/25/2026,,,,,,,,,,
crm admin and marketing coordinator|geffen mesher & company pc,CRM Admin and Marketing Coordinator,Geffen Mesher & Company PC,Not Applied,,,,6/25/2026,,,,,,,,,,
zoho crm junior administrator|crewbloom,Zoho CRM Junior Administrator,CrewBloom,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator remote|work from home,Salesforce administrator remote,Work from home,Not Applied,,,,6/25/2026,,,,,,,,,,
[remote] salesforce administrator i|frontendnode-production.up.railway.app,[Remote] Salesforce Administrator I,frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
[remote] salesforce administrator|frontendnode-production.up.railway.app,[Remote] Salesforce Administrator,frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator - work from home|frontendnode-production.up.railway.app,Salesforce Administrator - Work From Home,frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
"sr. salesforce administrator, remote - est|frontendnode-production.up.railway.app","Sr. Salesforce Administrator, Remote - EST",frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
"senior salesforce administrator (remote, us)|frontendnode-production.up.railway.app","Senior Salesforce Administrator (Remote, US)",frontendnode-production.up.railway.app,Not Applied,,,,6/25/2026,,,,,,,,,,
remote inside sales representative|liberty mutual insurance,Remote Inside Sales Representative,Liberty Mutual Insurance,Not Applied,,,,6/25/2026,,,,,,,,,,
inside sales representative|i-labs (infectolab americas),Inside Sales Representative,i-Labs (Infectolab Americas),Not Applied,,,,6/25/2026,,,,,,,,,,
"associate sales executive, print|thomson reuters","Associate Sales Executive, Print",Thomson Reuters,Not Applied,,,,6/25/2026,,,,,,,,,,
sales b2b|distro,Sales B2B,Distro,Not Applied,,,,6/25/2026,,,,,,,,,,
business development representative|distro,Business Development Representative,Distro,Not Applied,,,,6/25/2026,,,,,,,,,,
analyst jobs mn|minnesota,Analyst jobs mn,Minnesota,Not Applied,,,,6/25/2026,,,,,,,,,,
dayforce hris analyst|robert half,Dayforce HRIS Analyst,Robert Half,Not Applied,,,,6/25/2026,,,,,,,,,,
sr data analyst - crecera brands|salt strong,Sr Data Analyst - Crecera Brands,Salt Strong,Not Applied,,,,6/25/2026,,,,,,,,,,
catastrophe analyst|pure insurance,Catastrophe Analyst,PURE Insurance,Not Applied,,,,6/25/2026,,,,,,,,,,
"inventory analyst - minneapolis, mn - september 2026 start date|target","Inventory Analyst - Minneapolis, MN - September 2026 Start Date",Target,Not Applied,,,,6/25/2026,,,,,,,,,,
d365 f&o finance business analyst|catch resource management,D365 F&O Finance Business Analyst,Catch Resource Management,Not Applied,,,,6/25/2026,,,,,,,,,,
"financial analyst jobs in usa, mn, minneapolis | rose international job|rose international","Financial Analyst Jobs in USA, MN, Minneapolis | Rose International Job",Rose International,Not Applied,,,,6/25/2026,,,,,,,,,,
risk management analyst|topline financial credit union,Risk Management Analyst,TopLine Financial Credit Union,Not Applied,,,,6/25/2026,,,,,,,,,,
revenue analyst - digital assets & money movement|us bank national association,Revenue Analyst - Digital Assets & Money Movement,US Bank National Association,Not Applied,,,,6/25/2026,,,,,,,,,,
data analyst|cloud data vision llc,Data Analyst,Cloud Data Vision LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
"cloud data vision llc|lauderdale, mn, united states",Cloud Data Vision LLC,"Lauderdale, MN, United States",Not Applied,,,,6/25/2026,,,,,,,,,,
senior business analyst / product owner|qode,Senior Business Analyst / Product Owner,QODE,Not Applied,,,,6/25/2026,,,,,,,,,,
revenue analyst - digital assets & money movement|u.s. bank national association,Revenue Analyst - Digital Assets & Money Movement,U.S. Bank National Association,Not Applied,,,,6/25/2026,,,,,,,,,,
operations analyst|optomi,Operations Analyst,Optomi,Not Applied,,,,6/25/2026,,,,,,,,,,
operations analyst|catalyst power holdings llc,Operations Analyst,Catalyst Power Holdings LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations associate|modernize,Sales Operations Associate,Modernize,Not Applied,,,,6/25/2026,,,,,,,,,,
sales operations associate|quinstreet,Sales Operations Associate,QuinStreet,Not Applied,,,,6/25/2026,,,,,,,,,,
business analyst/project coordinator|on-demand group,Business Analyst/Project Coordinator,On-Demand Group,Not Applied,,,,6/25/2026,,,,,,,,,,
fraud analyst - remote|optum,Fraud Analyst - Remote,Optum,Not Applied,,,,6/25/2026,,,,,,,,,,
data analytics engineer|merchology,Data Analytics Engineer,Merchology,Not Applied,,,,6/25/2026,,,,,,,,,,
title business anaylst|homeservices of america,Title Business Anaylst,HomeServices of America,Not Applied,,,,6/25/2026,,,,,,,,,,
"business process consultant, servicenow|pioneer management consulting","Business Process Consultant, ServiceNow",Pioneer Management Consulting,Not Applied,,,,6/25/2026,,,,,,,,,,
customer support and order fulfillment representative|nidec motor corporation,Customer Support and Order Fulfillment Representative,Nidec Motor Corporation,Not Applied,,,,6/25/2026,,,,,,,,,,
"business process analyst, systems engineering|fivetran","Business Process Analyst, Systems Engineering",Fivetran,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
product operations analyst|instawork,Product Operations Analyst,Instawork,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
revenue operations analyst|auris,Revenue Operations Analyst,Auris,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
"revops analyst, post-sales (ai & automation)|checkr, inc.","RevOps Analyst, Post-Sales (AI & Automation)","Checkr, Inc.",Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
sr. business analyst|tricom technical services,Sr. Business Analyst,TriCom Technical Services,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
business systems analyst 2 or 3|metropolitan council,Business Systems Analyst 2 or 3,Metropolitan Council,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
business technology analyst|us bank national association,Business Technology Analyst,US Bank National Association,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
"senior, business solutions analyst - tax transformation|deloitte","Senior, Business Solutions Analyst - Tax Transformation",Deloitte,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
sr. business analyst - remote|unitedhealth group,Sr. Business Analyst - Remote,UnitedHealth Group,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
systems applications business analyst|quanex,Systems Applications Business Analyst,Quanex,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
senior financial systems analyst (hybrid)|intact insurance specialty solutions,Senior Financial Systems Analyst (Hybrid),Intact Insurance Specialty Solutions,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
senior it business analyst: erp & healthcare ops|tactile medical,Senior IT Business Analyst: ERP & Healthcare Ops,Tactile Medical,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
senior data analyst: drive growth with data & dashboards|sportsman's guide,Senior Data Analyst: Drive Growth with Data & Dashboards,Sportsman's Guide,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
business technology analyst|us bank,Business Technology Analyst,US Bank,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
business technology analyst|u.s. bank national association,Business Technology Analyst,U.S. Bank National Association,Not Applied,Not Applied,,,2026-06-25,Business Analyst Resume,No,,,,,,,,
salesforce business analyst|hollstadt consulting,Salesforce Business Analyst,Hollstadt Consulting,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
sr. salesforce administrator|fnbo,Sr. Salesforce Administrator,FNBO,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
"senior salesforce cpq & billing business systems analyst|socotra, inc.",Senior Salesforce CPQ & Billing Business Systems Analyst,"Socotra, Inc.",Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
salesforce developer columbus oh or minneapolis mn 4 days onsite 1 day|remote,Salesforce Developer Columbus OH or Minneapolis MN 4 days onsite 1 day,remote,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
salesforce developer columbus oh or minneapolis mn 4 days onsite 1 day remote|hyr global source inc,Salesforce Developer Columbus OH or Minneapolis MN 4 days onsite 1 day remote,HYR Global Source Inc,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
revenue operations analyst (revops) – salesforce|informativ,Revenue Operations Analyst (RevOps) – Salesforce,Informativ,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
crm & data analyst|chicago fire fc,CRM & Data Analyst,Chicago Fire FC,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
procurement specialist|partssource inc.,Procurement Specialist,PartsSource Inc.,Not Applied,Not Applied,,,2026-06-25,Operations / Supply Chain Resume,No,,,,,,,,
production planner|dalsin industries,Production Planner,Dalsin Industries,Not Applied,Not Applied,,,2026-06-25,Operations / Supply Chain Resume,No,,,,,,,,
customer service representative|abbott,Customer Service Representative II,Abbott,Not Applied,Not Applied,,,2026-06-25,Operations / Supply Chain Resume,No,,,,,,,,
shipping scheduler - office hours|nvent,Shipping Scheduler - Office Hours,nVent,Not Applied,Not Applied,,,2026-06-25,Operations / Supply Chain Resume,No,,,,,,,,
hubspot:salesforce admin (immediate need)|upwork,HubSpot:Salesforce Admin (Immediate Need),Upwork,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
senior salesforce admin — health cloud lead; remote|behavioral health practice services llc.,Senior Salesforce Admin — Health Cloud Lead; Remote,BEHAVIORAL HEALTH PRACTICE SERVICES LLC.,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
"[remote] principal platform engineer (lead salesforce admin) job details ||aflac, incorporated",[Remote] Principal Platform Engineer (Lead Salesforce Admin) Job Details |,"Aflac, Incorporated",Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
salesforce developer- remote@ michigan|2.halvolink,Salesforce Developer- REMOTE@ Michigan,2.halvolink,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
[remote] associate salesforce admin|hirevista,[Remote] Associate Salesforce Admin,hirevista,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
salesforce developer/administrator|quickswoop,Salesforce Developer/Administrator,Quickswoop,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
senior salesforce solutions architect|2.halvolink,Senior Salesforce Solutions Architect,2.halvolink,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
"salesforce administrator, collections & servicing|quickswoop","SalesForce Administrator, Collections & Servicing",Quickswoop,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
salesforce software developer|2.halvolink,Salesforce Software Developer,2.halvolink,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
"senior salesforce developer / nyc, ny- remote- 12 months contract|hirevista","Senior Salesforce developer / NYC, NY- remote- 12 months Contract",hirevista,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
"[remote] principal platform engineer (lead salesforce admin) job details | aflac, incorporated|2.halvolink","[Remote] Principal Platform Engineer (Lead Salesforce Admin) Job Details | Aflac, Incorporated",2.halvolink,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
leads administrator|gtn technical staffing,Leads Administrator,GTN Technical Staffing,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
operations administrator – crm & vendor management|quickswoop,Operations Administrator – CRM & Vendor Management,Quickswoop,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
microsoft 365 and crm setup for sales team|upwork,Microsoft 365 and CRM Setup for Sales Team,Upwork,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
copy of crm consultant (creatio)|net at work,Copy of CRM Consultant (Creatio),Net at Work,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
[remote] crm / retention manager (email & sms)|hirevista,[Remote] CRM / Retention Manager (Email & SMS),hirevista,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
"crm specialist, e-commerce (remote)|remotepromsp","CRM Specialist, E-Commerce (Remote)",remotepromsp,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
salesforce admin – united states – remote|hirevista,Salesforce Admin – United States – Remote,hirevista,Not Applied,Not Applied,,,2026-06-25,Salesforce Resume,No,,,,,,,,
