job_title,company,location,source,score,fit_category,target_track,recommended_resume,resume_fit_level,job_intelligence_summary,why_this_fits,resume_focus,job_intelligence_interview_focus,potential_concerns,suggested_next_action,application_stage,email_date
Salesforce administrator remote,Work from home,F,Google Job Alert,165,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce administrator remote at Work from home is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Sr. Salesforce Administrator,"Patterson Companies, Inc.","Bloomington, MN, United States",Google Job Alert,160,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Sr. Salesforce Administrator at Patterson Companies, Inc. is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Remote Senior Salesforce Admin - Drive CRM Innovation,First Advantage,"St Paul, MN, United States",Google Job Alert,160,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Remote Senior Salesforce Admin - Drive CRM Innovation at First Advantage is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Sr. Salesforce Administrator,Patterson,"St Paul, MN, United States",Google Job Alert,160,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Sr. Salesforce Administrator at Patterson is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Sr. Salesforce Administrator,Patterson Companies,"Minnesota, United States",Google Job Alert,160,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Sr. Salesforce Administrator at Patterson Companies is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Salesforce Administrator,Delta Dental Ins.,"Alpharetta, GA (Hybrid)",LinkedIn,155,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Administrator at Delta Dental Ins. is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Sales Operations Business Analyst,Skillsoft,United States (Remote),LinkedIn,150,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Excellent Resume Fit,"Sales Operations Business Analyst at Skillsoft is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Review possible missing/watch skills: Revenue Operations,Prioritize for application,Not Applied,2026-06-26
Senior Revenue Operations Analyst,Rain,United States (Remote),LinkedIn,145,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Excellent Resume Fit,"Senior Revenue Operations Analyst at Rain is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Review possible missing/watch skills: Revenue Operations,Prioritize for application,Not Applied,2026-06-26
Revenue Operations Analyst,Scale.jobs,"Chicago, IL (Remote)",LinkedIn,145,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Excellent Resume Fit,"Revenue Operations Analyst at Scale.jobs is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Review possible missing/watch skills: Revenue Operations,Prioritize for application,Not Applied,2026-06-25
Staff Sales Operations Analyst,Dexcom,United States (Remote),LinkedIn,145,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Staff Sales Operations Analyst at Dexcom is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Senior Revenue Operations Analyst,Ladders,United States (Remote),LinkedIn,145,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Senior Revenue Operations Analyst at Ladders is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Expert Salesforce Business Analyst - Remote,Veradigm,"Minneapolis, MN, United States",Google Job Alert,145,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Expert Salesforce Business Analyst - Remote at Veradigm is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Salesforce Operations CRM Analyst,Stand8 Technology Consulting,United States (Remote),LinkedIn,140,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Operations CRM Analyst at Stand8 Technology Consulting is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
Salesforce administrator jobs mn,Minnesota,Logo,Google Job Alert,140,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce administrator jobs mn at Minnesota is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Sr. Salesforce Administrator,FNBO,"Minneapolis, MN, United States",Google Job Alert,140,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Sr. Salesforce Administrator at FNBO is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Senior Salesforce Administrator,Versique Search & Consulting,"Mendota Heights, MN, United States",Google Job Alert,140,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Senior Salesforce Administrator at Versique Search & Consulting is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Salesforce Administrator,Kids In Need Foundation,"St Paul, MN, United States",Google Job Alert,140,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Administrator at Kids In Need Foundation is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Sr. Business Analyst - Remote,UnitedHealth Group,"Eden Prairie, MN, United States",Google Job Alert,135,Excellent Match,Business Analyst,Business Analyst Resume,Excellent Resume Fit,"Sr. Business Analyst - Remote at UnitedHealth Group is a excellent match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Crm administrator remote,Work from home,G,Google Job Alert,135,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Crm administrator remote at Work from home is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Salesforce Business Analyst - Hybrid,Gravie,"Minneapolis, MN, United States",Google Job Alert,135,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Business Analyst - Hybrid at Gravie is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
CRM Administrator,XS.com,via Remote Rocketship,Google Job Alert,135,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"CRM Administrator at XS.com is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
CX Systems Architect (CRM Administrator) - Remote,Hire Horatio CX,via RemoteJobs.org,Google Job Alert,135,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"CX Systems Architect (CRM Administrator) - Remote at Hire Horatio CX is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Salesforce Business Analyst,Pinnacle Method Consulting,United States (Remote),LinkedIn,130,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Business Analyst at Pinnacle Method Consulting is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
"Business Analyst, Salesforce - Experience Cloud (Customer Portal)",Pinnacle Method Consulting,United States (Remote),LinkedIn,130,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Business Analyst, Salesforce - Experience Cloud (Customer Portal) at Pinnacle Method Consulting is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
